id,name,aliases,category,usage,source_type,source_company,source_title,source_url,checked_at,source_notes,Ni,Cr,Co,Fe,Mo,Nb,Ti,Al,W,Ta,C,Mn,Si,Cu,V,Sn,Zr,B,P,S,N,O,H,Pd,Ru,Be,Hf,Ni_includes,Nb_includes,Ni_estimated,Ni_estimate_method,Cr_estimated,Cr_estimate_method,Co_estimated,Co_estimate_method,Fe_estimated,Fe_estimate_method,Mo_estimated,Mo_estimate_method,Nb_estimated,Nb_estimate_method,Ti_estimated,Ti_estimate_method,Al_estimated,Al_estimate_method,W_estimated,W_estimate_method,Ta_estimated,Ta_estimate_method,C_estimated,C_estimate_method,Mn_estimated,Mn_estimate_method,Si_estimated,Si_estimate_method,Cu_estimated,Cu_estimate_method,V_estimated,V_estimate_method,Sn_estimated,Sn_estimate_method,Zr_estimated,Zr_estimate_method,B_estimated,B_estimate_method,P_estimated,P_estimate_method,S_estimated,S_estimate_method,N_estimated,N_estimate_method,O_estimated,O_estimate_method,H_estimated,H_estimate_method,Pd_estimated,Pd_estimate_method,Ru_estimated,Ru_estimate_method,Be_estimated,Be_estimate_method,Hf_estimated,Hf_estimate_method
inconel-600,Inconel 600,Alloy 600|UNS N06600|2.4816,スーパーアロイ,熱処理炉・化学装置,official,Special Metals,INCONEL alloy 600 technical bulletin,https://www.specialmetals.com/documents/technical-bulletins/inconel/inconel-alloy-600.pdf,2026-06-14,Limiting chemical composition table.,72 min,14-17,,6-10,,,,,,,0.15 max,,,,,,,,,,,,,,,,,Co,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inconel-601,Inconel 601,Alloy 601|UNS N06601|2.4851,スーパーアロイ,高温酸化環境・工業炉,official,Special Metals,INCONEL alloy 601 technical bulletin,https://www.specialmetals.com/documents/technical-bulletins/inconel/inconel-alloy-601.pdf,2026-06-14,Limiting chemical composition table. Balance element shown as a reference midpoint estimate from listed major elements.,58-63,21-25,,約15.1,,,,1-1.7,,,0.10 max,,,,,,,,,,,,,,,,,,,,,,,,,1,balance midpoint estimate from listed major elements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inconel-617,Inconel 617,Alloy 617|UNS N06617|2.4663,スーパーアロイ,ガスタービン・高温機器,official,Special Metals,INCONEL alloy 617 technical bulletin,https://www.specialmetals.com/documents/technical-bulletins/inconel/inconel-alloy-617.pdf,2026-06-14,Limiting chemical composition table.,44.5 min,20-24,10-15,3 max,8-10,,0.6 max,0.8-1.5,,,0.05-0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inconel-625,Inconel 625,Alloy 625|UNS N06625|2.4856,スーパーアロイ,海洋・化学プラント・耐食部材,official,Special Metals,INCONEL alloy 625 technical bulletin,https://www.specialmetals.com/documents/technical-bulletins/inconel/inconel-alloy-625.pdf,2026-06-14,Limiting chemical composition table.,58 min,20-23,1 max,5 max,8-10,3.15-4.15,0.40 max,0.40 max,,,0.10 max,,,,,,,,,,,,,,,,,,Ta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inconel-690,Inconel 690,Alloy 690|UNS N06690,スーパーアロイ,原子力・高温水環境,official,Special Metals,INCONEL alloy 690 technical bulletin,https://www.specialmetals.com/documents/technical-bulletins/inconel/inconel-alloy-690.pdf,2026-06-14,Limiting chemical composition table.,58 min,27-31,,7-11,,,,,,,0.05 max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inconel-718,Inconel 718,Alloy 718|UNS N07718|2.4668,スーパーアロイ,航空エンジン・ガスタービン,official,Special Metals,INCONEL alloy 718 technical bulletin,https://www.specialmetals.com/documents/technical-bulletins/inconel/inconel-alloy-718.pdf,2026-06-14,Table 1 limiting chemical composition. Balance element shown as a reference midpoint estimate from listed major elements.,50-55,17-21,1 max,約18.4,2.8-3.3,4.75-5.5,0.65-1.15,0.2-0.8,,,0.08 max,,,,,,,,,,,,,,,,,,Ta,,,,,,,1,balance midpoint estimate from listed major elements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inconel-x-750,Inconel X-750,Alloy X-750|UNS N07750,スーパーアロイ,ばね・高温締結部品,official,Special Metals,INCONEL alloy X-750 technical bulletin,https://www.specialmetals.com/documents/technical-bulletins/inconel/inconel-alloy-x-750.pdf,2026-06-14,Limiting chemical composition table.,70 min,14-17,,5-9,,0.70-1.20,2.25-2.75,0.40-1.00,,,0.08 max,,,,,,,,,,,,,,,,,,Ta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hastelloy-b-2,Hastelloy B-2,Alloy B-2|UNS N10665,耐食合金,還元性酸・化学プラント,reference,Reference data,Hastelloy composition reference,https://fr.wikipedia.org/wiki/Hastelloy,2026-06-14,Reference composition range; official manufacturer data should replace this when confirmed. Balance element shown as a reference midpoint estimate from listed major elements.,約70.0,1 max,1 max,2 max,26-30,,,,,,0.01 max,,,,,,,,,,,,,,,,,,,1,balance midpoint estimate from listed major elements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hastelloy-c-22,Hastelloy C-22,Alloy C-22|UNS N06022,耐食合金,酸化性・還元性混酸環境,reference,Reference data,Hastelloy composition reference,https://fr.wikipedia.org/wiki/Hastelloy,2026-06-14,Reference composition range; official manufacturer data should replace this when confirmed. Balance element shown as a reference midpoint estimate from listed major elements.,約56.0,20-22.5,2.5 max,2-6,12.5-14.5,,,,2.5-3.5,,0.01 max,,,,,,,,,,,,,,,,,,,1,balance midpoint estimate from listed major elements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hastelloy-c-276,Hastelloy C-276,Alloy C-276|UNS N10276|2.4819,耐食合金,化学プラント・排煙脱硫,reference,Reference data,Hastelloy composition reference,https://fr.wikipedia.org/wiki/Hastelloy,2026-06-14,Reference composition range; official manufacturer data should replace this when confirmed. Balance element shown as a reference midpoint estimate from listed major elements.,約58.0,14.5-16.5,2.5 max,4-7,15-17,,,,3-4.5,,0.01 max,,,,,,,,,,,,,,,,,,,1,balance midpoint estimate from listed major elements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
