id,name,aliases,category,usage,properties,representative_makers,japanese_makers,source_type,source_company,source_title,source_url,checked_at,source_notes,name_en,name_zh,category_en,category_zh,usage_en,usage_zh,properties_en,properties_zh,representative_makers_en,representative_makers_zh,japanese_makers_en,japanese_makers_zh,source_notes_en,source_notes_zh,Ni,Cr,Co,Fe,Mo,Nb,Ti,Al,W,Ta,C,Mn,Si,Cu,V,Sn,Zr,B,P,S,N,O,H,Pd,Ru,Re,Be,Hf,Ni_includes,Nb_includes,Ni_estimated,Ni_estimate_method,Cr_estimated,Cr_estimate_method,Co_estimated,Co_estimate_method,Fe_estimated,Fe_estimate_method,Mo_estimated,Mo_estimate_method,Nb_estimated,Nb_estimate_method,Ti_estimated,Ti_estimate_method,Al_estimated,Al_estimate_method,W_estimated,W_estimate_method,Ta_estimated,Ta_estimate_method,C_estimated,C_estimate_method,Mn_estimated,Mn_estimate_method,Si_estimated,Si_estimate_method,Cu_estimated,Cu_estimate_method,V_estimated,V_estimate_method,Sn_estimated,Sn_estimate_method,Zr_estimated,Zr_estimate_method,B_estimated,B_estimate_method,P_estimated,P_estimate_method,S_estimated,S_estimate_method,N_estimated,N_estimate_method,O_estimated,O_estimate_method,H_estimated,H_estimate_method,Pd_estimated,Pd_estimate_method,Ru_estimated,Ru_estimate_method,Re_estimated,Re_estimate_method,Be_estimated,Be_estimate_method,Hf_estimated,Hf_estimate_method
inconel-600,Inconel 600,Alloy 600|UNS N06600|2.4816,スーパーアロイ,熱処理炉・化学装置,,,,official,Special Metals,INCONEL alloy 600 technical bulletin,https://www.specialmetals.com/documents/technical-bulletins/inconel/inconel-alloy-600.pdf,2026-06-14,化学成分の限界値表。,Inconel 600,Inconel 600,Superalloy,超合金,"heat-treatment furnaces, chemical equipment",热处理炉、化工设备,"Ni-Cr-Fe heat- and corrosion-resistant alloy noted for high-temperature oxidation resistance, chloride stress-corrosion-cracking resistance, and versatility in chemical equipment.",Ni-Cr-Fe系耐热耐蚀合金，特点是在高温下具备抗氧化性、耐氯化物应力腐蚀开裂能力，并适用于化工设备。,"Special Metals, VDM Metals, Haynes International, ATI","Special Metals, VDM Metals, Haynes International, ATI","Daido Steel, Proterial, Nippon Yakin Kogyo, Mitsubishi Materials","大同特殊钢, Proterial, 日本冶金工业, 三菱材料",Limiting chemical composition table.,化学成分限值表。,72 min,14-17,,6-10,,,,,,,0.15 max,,,,,,,,,,,,,,,,,,Co,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inconel-601,Inconel 601,Alloy 601|UNS N06601|2.4851,スーパーアロイ,高温酸化環境・工業炉,,,,official,Special Metals,INCONEL alloy 601 technical bulletin,https://www.specialmetals.com/documents/technical-bulletins/inconel/inconel-alloy-601.pdf,2026-06-14,化学成分の限界値表。余量元素は列挙した主要元素から参考中点推定として表示。,Inconel 601,Inconel 601,Superalloy,超合金,"high-temperature oxidizing environments, industrial furnaces",高温氧化环境、工业炉,"High-Cr Ni-base oxidation-resistant alloy suited to high-temperature oxidation, carburizing, and thermal-shock environments.",高Cr-Ni系抗氧化合金，适用于高温氧化、渗碳和热冲击环境。,"Special Metals, VDM Metals, Haynes International, ATI","Special Metals, VDM Metals, Haynes International, ATI","Daido Steel, Proterial, Nippon Yakin Kogyo, Mitsubishi Materials","大同特殊钢, Proterial, 日本冶金工业, 三菱材料",Limiting chemical composition table. Balance element shown as a reference midpoint estimate from listed major elements.,化学成分限值表。余量元素按列出主要元素的参考中点估算显示。,58-63,21-25,,約15.1,,,,1-1.7,,,0.10 max,,,,,,,,,,,,,,,,,,,,,,,,,,1,balance midpoint estimate from listed major elements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inconel-617,Inconel 617,Alloy 617|UNS N06617|2.4663,スーパーアロイ,ガスタービン・高温機器,,,,official,Special Metals,INCONEL alloy 617 technical bulletin,https://www.specialmetals.com/documents/technical-bulletins/inconel/inconel-alloy-617.pdf,2026-06-14,化学成分の限界値表。,Inconel 617,Inconel 617,Superalloy,超合金,"gas turbines, high-temperature equipment",燃气轮机、高温设备,"Ni-Cr-Co-Mo solid-solution-strengthened alloy noted for high-temperature strength, oxidation resistance, and suitability for gas turbine peripheral components.",Ni-Cr-Co-Mo系固溶强化合金，特点是高温强度、抗氧化性以及适用于燃气轮机周边部件。,"Special Metals, VDM Metals, Haynes International, ATI","Special Metals, VDM Metals, Haynes International, ATI","Daido Steel, Proterial, Nippon Yakin Kogyo, IHI","大同特殊钢, Proterial, 日本冶金工业, IHI",Limiting chemical composition table.,化学成分限值表。,44.5 min,20-24,10-15,3 max,8-10,,0.6 max,0.8-1.5,,,0.05-0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inconel-625,Inconel 625,Alloy 625|UNS N06625|2.4856,スーパーアロイ,海洋・化学プラント・耐食部材,,,,official,Special Metals,INCONEL alloy 625 technical bulletin,https://www.specialmetals.com/documents/technical-bulletins/inconel/inconel-alloy-625.pdf,2026-06-14,化学成分の限界値表。,Inconel 625,Inconel 625,Superalloy,超合金,"marine service, chemical plants, corrosion-resistant components",海洋环境、化工装置、耐蚀部件,"Mo-Nb-bearing nickel-base corrosion-resistant alloy noted for corrosion resistance and weldability in seawater, chloride, and acidic environments.",含Mo-Nb的镍基耐蚀合金，特点是在海水、氯化物和酸性环境中具备耐蚀性和焊接性。,"Special Metals, VDM Metals, Haynes International, ATI","Special Metals, VDM Metals, Haynes International, ATI","Daido Steel, Proterial, Nippon Yakin Kogyo, Mitsubishi Materials","大同特殊钢, Proterial, 日本冶金工业, 三菱材料",Limiting chemical composition table.,化学成分限值表。,58 min,20-23,1 max,5 max,8-10,3.15-4.15,0.40 max,0.40 max,,,0.10 max,,,,,,,,,,,,,,,,,,,Ta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inconel-690,Inconel 690,Alloy 690|UNS N06690,スーパーアロイ,原子力・高温水環境,,,,official,Special Metals,INCONEL alloy 690 technical bulletin,https://www.specialmetals.com/documents/technical-bulletins/inconel/inconel-alloy-690.pdf,2026-06-14,化学成分の限界値表。,Inconel 690,Inconel 690,Superalloy,超合金,"nuclear service, high-temperature water environments",核能用途、高温水环境,"Alloy for high-temperature environments emphasizing oxidation resistance, high-temperature strength, and creep resistance in heat-treatment furnaces, gas turbines, and hot equipment.",面向高温环境的合金，重视抗氧化性、高温强度和抗蠕变性，用于热处理炉、燃气轮机和高温设备。,"Special Metals, VDM Metals, ATI, Carpenter Technology","Special Metals, VDM Metals, ATI, Carpenter Technology","Daido Steel, Proterial, Nippon Yakin Kogyo, Mitsubishi Materials","大同特殊钢, Proterial, 日本冶金工业, 三菱材料",Limiting chemical composition table.,化学成分限值表。,58 min,27-31,,7-11,,,,,,,0.05 max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inconel-718,Inconel 718,Alloy 718|UNS N07718|2.4668,スーパーアロイ,航空エンジン・ガスタービン,,,,official,Special Metals,INCONEL alloy 718 technical bulletin,https://www.specialmetals.com/documents/technical-bulletins/inconel/inconel-alloy-718.pdf,2026-06-14,表1の化学成分限界値。余量元素は列挙した主要元素から参考中点推定として表示。,Inconel 718,Inconel 718,Superalloy,超合金,"aircraft engines, gas turbines",航空发动机、燃气轮机,"Nb-bearing precipitation-strengthened nickel-base alloy noted for high strength, creep resistance, and broad applicability to forged and additively manufactured parts.",含Nb的沉淀强化镍基合金，特点是高强度、抗蠕变性以及对锻件和增材制造部件的广泛适用性。,"Special Metals, Carpenter Technology, ATI, VDM Metals","Special Metals, Carpenter Technology, ATI, VDM Metals","Daido Steel, Proterial, IHI, Mitsubishi Heavy Industries","大同特殊钢, Proterial, IHI, 三菱重工业",Table 1 limiting chemical composition. Balance element shown as a reference midpoint estimate from listed major elements.,表1化学成分限值。余量元素按列出主要元素的参考中点估算显示。,50-55,17-21,1 max,約18.4,2.8-3.3,4.75-5.5,0.65-1.15,0.2-0.8,,,0.08 max,,,,,,,,,,,,,,,,,,,Ta,,,,,,,1,balance midpoint estimate from listed major elements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inconel-x-750,Inconel X-750,Alloy X-750|UNS N07750,スーパーアロイ,ばね・高温締結部品,,,,official,Special Metals,INCONEL alloy X-750 technical bulletin,https://www.specialmetals.com/documents/technical-bulletins/inconel/inconel-alloy-x-750.pdf,2026-06-14,化学成分の限界値表。,Inconel X-750,Inconel X-750,Superalloy,超合金,"springs, high-temperature fasteners",弹簧、高温紧固件,"Alloy for high-temperature environments emphasizing oxidation resistance, high-temperature strength, and creep resistance in heat-treatment furnaces, gas turbines, and hot equipment.",面向高温环境的合金，重视抗氧化性、高温强度和抗蠕变性，用于热处理炉、燃气轮机和高温设备。,"Special Metals, ATI, VDM Metals, Carpenter Technology","Special Metals, ATI, VDM Metals, Carpenter Technology","Daido Steel, Proterial, Nippon Yakin Kogyo, Mitsubishi Materials","大同特殊钢, Proterial, 日本冶金工业, 三菱材料",Limiting chemical composition table.,化学成分限值表。,70 min,14-17,,5-9,,0.70-1.20,2.25-2.75,0.40-1.00,,,0.08 max,,,,,,,,,,,,,,,,,,,Ta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hastelloy-b-2,Hastelloy B-2,Alloy B-2|UNS N10665,耐食合金,還元性酸・化学プラント,,,,reference,Reference data,Hastelloy composition reference,https://fr.wikipedia.org/wiki/Hastelloy,2026-06-14,参考成分範囲。確認後は公式メーカー資料へ置換が必要。余量元素は列挙した主要元素から参考中点推定として表示。,Hastelloy B-2,Hastelloy B-2,Corrosion-resistant alloy,耐蚀合金,"reducing acids, chemical plants",还原性酸、化工装置,"Special alloy focused on corrosion resistance in acids, chlorides, seawater, and chemical plant environments.",重视耐蚀性的特殊合金，主要特点是在酸、氯化物、海水和化工装置环境中的耐腐蚀能力。,"Haynes International, VDM Metals, ATI, Special Metals","Haynes International, VDM Metals, ATI, Special Metals","Daido Steel, Proterial, Nippon Yakin Kogyo, Mitsubishi Materials","大同特殊钢, Proterial, 日本冶金工业, 三菱材料",Reference composition range; official manufacturer data should replace this when confirmed. Balance element shown as a reference midpoint estimate from listed major elements.,参考成分范围；确认后应以官方制造商数据替换。余量元素按列出主要元素的参考中点估算显示。,約70.0,1 max,1 max,2 max,26-30,,,,,,0.01 max,,,,,,,,,,,,,,,,,,,,1,balance midpoint estimate from listed major elements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hastelloy-c-22,Hastelloy C-22,Alloy C-22|UNS N06022,耐食合金,酸化性・還元性混酸環境,,,,reference,Reference data,Hastelloy composition reference,https://fr.wikipedia.org/wiki/Hastelloy,2026-06-14,参考成分範囲。確認後は公式メーカー資料へ置換が必要。余量元素は列挙した主要元素から参考中点推定として表示。,Hastelloy C-22,Hastelloy C-22,Corrosion-resistant alloy,耐蚀合金,"oxidizing service, reducing mixed-acid environments",氧化性环境、还原性混酸环境,"Special alloy focused on corrosion resistance in acids, chlorides, seawater, and chemical plant environments.",重视耐蚀性的特殊合金，主要特点是在酸、氯化物、海水和化工装置环境中的耐腐蚀能力。,"Haynes International, VDM Metals, ATI, Special Metals","Haynes International, VDM Metals, ATI, Special Metals","Daido Steel, Proterial, Nippon Yakin Kogyo, Mitsubishi Materials","大同特殊钢, Proterial, 日本冶金工业, 三菱材料",Reference composition range; official manufacturer data should replace this when confirmed. Balance element shown as a reference midpoint estimate from listed major elements.,参考成分范围；确认后应以官方制造商数据替换。余量元素按列出主要元素的参考中点估算显示。,約56.0,20-22.5,2.5 max,2-6,12.5-14.5,,,,2.5-3.5,,0.01 max,,,,,,,,,,,,,,,,,,,,1,balance midpoint estimate from listed major elements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hastelloy-c-276,Hastelloy C-276,Alloy C-276|UNS N10276|2.4819,耐食合金,化学プラント・排煙脱硫,,,,reference,Reference data,Hastelloy composition reference,https://fr.wikipedia.org/wiki/Hastelloy,2026-06-14,参考成分範囲。確認後は公式メーカー資料へ置換が必要。余量元素は列挙した主要元素から参考中点推定として表示。,Hastelloy C-276,Hastelloy C-276,Corrosion-resistant alloy,耐蚀合金,"chemical plants, flue-gas desulfurization",化工装置、烟气脱硫,"Special alloy focused on corrosion resistance in acids, chlorides, seawater, and chemical plant environments.",重视耐蚀性的特殊合金，主要特点是在酸、氯化物、海水和化工装置环境中的耐腐蚀能力。,"Haynes International, VDM Metals, ATI, Special Metals","Haynes International, VDM Metals, ATI, Special Metals","Daido Steel, Proterial, Nippon Yakin Kogyo, Mitsubishi Materials","大同特殊钢, Proterial, 日本冶金工业, 三菱材料",Reference composition range; official manufacturer data should replace this when confirmed. Balance element shown as a reference midpoint estimate from listed major elements.,参考成分范围；确认后应以官方制造商数据替换。余量元素按列出主要元素的参考中点估算显示。,約58.0,14.5-16.5,2.5 max,4-7,15-17,,,,3-4.5,,0.01 max,,,,,,,,,,,,,,,,,,,,1,balance midpoint estimate from listed major elements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
